gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc00g028960,0,0,0,0,0,0
Solyc00g029060,0,0,0,0,0,0
Solyc00g029070,0,0,0,0,0,0
Solyc00g029080,0,0,0,0,0,0
Solyc00g029090,0,0,0,0,0,0
Solyc00g029190,0,0,1,0,0,0
Solyc00g029290,0,0,0,0,0,0
Solyc00g029300,0,0,0,0,0,0
Solyc00g029500,0,0,0,0,0,0
Solyc00g029800,0,1,0,0,0,0
Solyc00g030000,2,0,1,0,0,0
Solyc00g030100,0,0,0,0,0,0
Solyc00g030110,0,0,0,0,0,0
Solyc00g030210,0,0,0,0,0,0
Solyc00g030510,1,0,0,0,0,0
Solyc00g030520,32,27,14,29,24,13
Solyc00g030820,0,1,0,3,1,4
Solyc00g031020,0,0,0,0,0,0
Solyc00g031030,0,0,0,0,0,0
Solyc00g031040,0,0,0,0,0,0
Solyc00g031050,0,0,0,0,0,0
Solyc00g031060,0,0,0,0,0,0
Solyc00g031360,0,0,0,0,0,0
Solyc00g031370,0,0,0,0,0,0
Solyc00g031380,0,0,0,0,0,0
Solyc00g031390,0,0,0,0,0,0
Solyc00g031490,0,0,0,0,0,0
Solyc00g031500,0,0,0,0,0,0
Solyc00g031700,0,0,0,0,0,0
Solyc00g031710,0,0,0,0,0,0
Solyc00g031720,0,0,0,0,0,0
Solyc00g031730,0,0,0,0,0,0
Solyc00g032030,2,3,1,0,0,0
Solyc00g032230,0,0,0,0,0,0
Solyc00g032940,0,0,0,0,0,0
Solyc00g033460,0,0,0,0,0,0
Solyc00g033860,0,0,0,0,0,0
Solyc00g033870,0,0,0,0,0,0
Solyc00g033880,0,0,0,0,0,0
Solyc00g033890,0,0,0,0,0,0
Solyc00g033990,0,0,0,0,0,0
Solyc00g034000,0,0,0,0,0,0
Solyc00g034010,0,0,0,0,0,0
Solyc00g034810,0,0,0,0,0,0
Solyc00g035010,0,0,0,0,0,0
Solyc00g035020,0,0,0,0,0,0
Solyc00g036320,0,0,0,0,0,0
Solyc00g036520,2,2,3,1,0,3
Solyc00g036530,0,0,0,1,0,0
Solyc00g036540,63,78,89,17,23,32
Solyc00g036740,0,0,0,0,0,0
Solyc00g036750,0,0,0,0,0,0
Solyc00g036760,0,0,0,0,0,0
Solyc00g036960,0,0,0,0,0,0
Solyc00g038390,0,0,0,0,0,0
Solyc00g039290,0,0,0,0,0,0
Solyc00g039990,21,16,24,20,24,29
Solyc00g040290,0,0,0,0,0,0
Solyc00g040390,0,0,0,0,0,0
Solyc00g040490,0,0,0,0,0,0
Solyc00g041090,0,1,2,0,2,1
Solyc00g041190,0,0,0,0,0,0
Solyc00g041200,0,0,0,0,0,0
Solyc00g041210,0,0,0,0,0,0
Solyc00g041220,0,0,0,0,0,0
